用例集,用例ID,一级分类,二级分类,用例标题,前置条件,测试步骤,输入数据重点,预期结果,自动化状态,证据来源,优先级
异常边界系统化自测,DELIV-BIZ-001,业务边界,零里程,零里程报价与开单,存在有效货主/承运商/车辆,1)调用报价 2)调用创建,mileageKm=0,报价200且干线费为0;开单成功且无500,已自动化,scripts/verify-boundary-fee-cases.ps1,P0
异常边界系统化自测,DELIV-BIZ-002,业务边界,零运费,零运费创建验证,存在可命中零运费组合,1)调用报价 2)调用创建,"mileageKm=0;extraLoadingFee=-120;subsidy=0;deduction=0",总费用=0且费用项正确;无500,已自动化,scripts/verify-boundary-fee-cases.ps1,P0
异常边界系统化自测,DELIV-BIZ-003,业务边界,负数补贴,负补贴金额核算,基础资料存在,1)报价 2)创建,"subsidy=-20",补贴项为负值并正确参与总价;无重复扣款,已自动化,scripts/verify-boundary-fee-cases.ps1,P0
异常边界系统化自测,DELIV-BIZ-004,业务边界,空运单,空运单拦截,无,1)goodsName空白报价 2)goodsName空白创建,goodsName='   ',接口返回400且message明确;不入库,已自动化,scripts/verify-boundary-fee-cases.ps1,P0
异常边界系统化自测,DELIV-BIZ-005,业务边界,超限货物,超重拦截,选择小车型,1)报价 2)尝试创建,weightKg>maxWeightKg,返回CAPACITY_EXCEEDED且提示超限值,已自动化,scripts/verify-capacity-split.ps1,P0
异常边界系统化自测,DELIV-BIZ-006,业务边界,超限货物,超体积拦截,选择小车型,1)报价 2)尝试创建,volumeM3>maxVolumeM3,返回CAPACITY_EXCEEDED且提示超限值,已自动化,scripts/verify-capacity-split.ps1,P0
异常边界系统化自测,DELIV-BIZ-007,业务边界,超限货物,双约束同时超限,选择小车型,1)报价 2)尝试创建,"weightKg/volumeM3同时超限",suggestedSplitCount合理且无脏写,已自动化,apps/api/src/capacity-acceptance.test.ts,P1
异常边界系统化自测,DELIV-IDEM-001,幂等边界,重复签收,重复签收同幂等键,运单状态可签收,连续签收2次,同x-idempotency-key,首次成功第二次幂等拦截;状态不重复变更,已自动化,apps/api/src/index.ts + scripts,P0
异常边界系统化自测,DELIV-IDEM-002,幂等边界,重复签收,重复签收不同幂等键,运单已签收,再次签收,不同key,返回已签收拦截且无重复写库,已自动化,apps/api/src/index.ts,P0
异常边界系统化自测,DELIV-IDEM-003,幂等边界,重复回单上传,重复上传同幂等键,运单已签收,连续上传回单2次,同x-idempotency-key,首次成功第二次幂等拦截,已自动化,apps/api/src/index.ts,P0
